ds,HOBBIES_2_142_CA_4,HOBBIES_2_129_CA_1,HOBBIES_2_129_CA_2,HOBBIES_2_100_CA_1,HOBBIES_2_028_CA_3,HOBBIES_2_124_CA_2,HOUSEHOLD_2_142_CA_2,HOBBIES_2_059_CA_2,HOBBIES_1_119_CA_4,HOBBIES_2_142_CA_2,HOUSEHOLD_2_436_CA_3,HOUSEHOLD_1_065_CA_2,HOUSEHOLD_1_414_CA_2,HOUSEHOLD_1_065_CA_1,HOUSEHOLD_1_325_CA_2,HOBBIES_2_007_CA_2,HOUSEHOLD_2_053_CA_2,HOUSEHOLD_1_436_CA_3,HOBBIES_1_331_CA_3,HOBBIES_1_408_CA_1,HOBBIES_1_248_CA_1,HOBBIES_2_098_CA_3,HOUSEHOLD_1_410_CA_3,HOUSEHOLD_1_229_CA_3,HOUSEHOLD_1_169_CA_4,HOUSEHOLD_2_308_CA_2,HOBBIES_2_085_CA_2,HOBBIES_2_116_CA_2,HOUSEHOLD_1_090_CA_2,HOUSEHOLD_2_357_CA_2,HOUSEHOLD_1_033_CA_3,HOBBIES_1_248_CA_3,HOUSEHOLD_2_308_CA_3,HOUSEHOLD_2_308_CA_1,HOBBIES_1_067_CA_2,HOUSEHOLD_2_371_CA_3,HOUSEHOLD_2_004_CA_3,HOBBIES_2_091_CA_1,HOUSEHOLD_1_325_CA_3,HOBBIES_2_129_CA_3,HOUSEHOLD_2_257_CA_2,HOBBIES_2_032_CA_1,HOUSEHOLD_1_424_CA_2,HOUSEHOLD_2_062_CA_1,HOUSEHOLD_1_305_CA_3,HOUSEHOLD_1_277_CA_2,HOUSEHOLD_1_028_CA_2,HOBBIES_1_400_CA_3,HOBBIES_1_080_CA_3,HOUSEHOLD_1_004_CA_4,HOUSEHOLD_1_518_CA_2,HOUSEHOLD_2_111_CA_1,HOUSEHOLD_2_067_CA_3,HOBBIES_2_122_CA_3,HOUSEHOLD_2_111_CA_2,HOUSEHOLD_2_053_CA_1,HOBBIES_1_121_CA_3,HOBBIES_2_028_CA_2,HOBBIES_1_145_CA_2,HOBBIES_2_122_CA_1,HOUSEHOLD_2_448_CA_3,HOBBIES_2_124_CA_1,HOBBIES_1_091_CA_2,HOUSEHOLD_1_456_CA_2,HOUSEHOLD_1_035_CA_3,HOUSEHOLD_2_111_CA_3,HOBBIES_2_148_CA_2,HOBBIES_1_145_CA_1,HOBBIES_1_299_CA_4,HOUSEHOLD_2_415_CA_3,HOBBIES_1_066_CA_3,HOUSEHOLD_2_313_CA_3,HOBBIES_2_098_CA_2,HOBBIES_2_059_CA_1,HOBBIES_1_016_CA_4,HOBBIES_1_017_CA_4,HOUSEHOLD_2_180_CA_3,HOBBIES_2_028_CA_1,HOBBIES_2_059_CA_4,HOBBIES_1_316_CA_3,HOUSEHOLD_1_032_CA_3,HOUSEHOLD_1_526_CA_3,HOUSEHOLD_2_240_CA_1,HOUSEHOLD_1_136_CA_3,HOUSEHOLD_2_504_CA_1,HOUSEHOLD_2_240_CA_2,HOBBIES_2_076_CA_3,HOBBIES_2_071_CA_4,HOUSEHOLD_1_189_CA_1,HOUSEHOLD_2_504_CA_2,HOBBIES_1_223_CA_1,HOUSEHOLD_2_264_CA_2,HOBBIES_1_318_CA_3,HOBBIES_2_042_CA_1,HOBBIES_2_041_CA_3,HOBBIES_1_316_CA_4,HOBBIES_1_400_CA_2,HOUSEHOLD_1_274_CA_2,HOBBIES_2_070_CA_2,HOUSEHOLD_1_480_CA_2,HOUSEHOLD_2_067_CA_4,HOBBIES_2_016_CA_2,HOBBIES_2_122_CA_2,HOUSEHOLD_1_133_CA_1,HOUSEHOLD_2_239_CA_4
2014-12-28,2,6,1,3,4,14,6,14,2,4,2,0,26,2,0,1,4,4,2,9,9,2,0,1,1,0,4,3,10,0,0,8,1,4,0,16,3,3,4,2,0,1,2,2,1,21,4,3,0,3,0,0,0,4,1,1,3,2,2,2,0,3,0,8,0,0,1,1,0,0,0,3,1,14,0,2,0,1,1,0,0,0,0,0,1,0,3,0,0,0,2,3,0,0,3,0,5,0,26,1,0,2,3,1,6
2015-01-04,3,6,4,3,0,2,20,7,2,0,1,0,11,2,2,0,0,5,1,15,14,1,2,4,2,0,1,1,18,0,0,8,4,5,0,6,4,2,13,3,0,1,1,1,2,24,5,2,0,0,0,0,0,1,1,0,0,0,1,0,2,7,0,13,0,0,1,3,0,2,1,6,0,3,0,6,0,0,2,0,0,0,0,1,0,0,13,0,1,2,1,3,0,5,2,0,11,0,11,1,0,0,0,7,4
2015-01-11,4,9,0,4,5,7,9,17,3,6,5,0,8,2,5,0,0,6,1,10,10,2,0,3,10,0,0,2,15,1,0,11,2,0,0,11,0,3,3,11,0,2,0,2,1,12,2,6,0,3,0,0,0,0,1,1,2,0,2,1,11,6,12,15,0,0,1,5,0,0,1,4,0,18,1,2,1,1,1,0,0,1,0,0,0,0,9,1,0,0,3,1,0,5,3,0,2,1,1,0,0,1,0,10,3
2015-01-18,8,9,1,1,8,0,13,0,2,8,5,3,8,1,0,0,0,5,4,27,12,2,2,1,4,0,1,1,20,1,0,10,2,1,0,12,0,2,1,11,0,2,1,6,1,21,2,3,0,8,0,0,0,0,0,0,1,0,0,2,9,2,4,6,0,0,0,3,0,0,3,0,1,21,1,1,19,2,20,0,0,0,0,0,0,0,2,0,0,0,17,1,0,1,0,0,3,0,0,0,0,1,0,0,9
2015-01-25,1,4,12,3,2,8,18,14,1,8,2,2,4,1,1,1,0,11,0,2,13,6,4,1,2,2,4,5,12,0,1,63,2,0,5,21,3,7,2,11,0,2,1,3,5,16,1,4,6,2,0,0,0,1,1,0,3,0,0,3,0,5,4,11,0,0,0,2,0,0,3,2,0,58,1,1,7,3,6,0,0,0,0,0,2,0,0,0,0,2,1,1,0,6,1,0,1,0,4,2,0,0,2,8,1
2015-02-01,12,2,2,5,4,6,9,12,6,1,0,0,9,1,0,3,0,19,4,10,11,5,0,2,0,9,1,5,15,1,0,152,2,0,71,18,4,4,1,0,0,1,0,2,4,14,2,3,6,2,0,0,0,1,0,0,3,3,0,0,12,4,6,16,0,0,3,0,0,0,3,3,1,20,1,0,3,1,2,0,0,0,0,1,0,0,4,0,0,2,4,3,0,4,1,0,6,0,0,0,0,0,0,1,0
2015-02-08,1,2,3,1,6,1,19,7,4,5,2,0,35,1,0,4,0,18,2,20,5,7,1,4,2,2,1,2,19,1,0,21,6,0,51,17,1,0,1,19,0,5,1,3,5,16,5,3,15,4,0,0,0,1,0,0,2,2,1,0,1,0,3,8,0,0,0,2,0,0,0,2,1,10,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,5,3,0,6,0,0,2,0,4,7,0,0,0,5,0
2015-02-15,0,1,0,2,6,1,8,12,7,6,2,0,34,2,3,1,0,7,3,15,13,4,1,0,2,1,6,1,23,1,0,18,3,0,8,13,3,5,2,3,4,2,1,2,1,9,3,1,13,7,0,0,49,1,0,0,1,1,0,0,13,5,1,12,0,0,4,2,0,0,10,6,3,18,0,3,4,2,1,0,0,0,0,0,0,0,4,0,0,0,6,1,0,5,6,0,0,0,7,2,0,2,0,7,0
2015-02-22,8,6,8,0,1,18,15,18,3,12,4,0,44,2,0,2,2,9,0,4,4,1,0,2,3,1,1,2,20,0,0,15,7,0,10,16,2,6,3,12,6,2,1,1,4,15,5,0,13,6,0,1,21,1,0,0,0,0,0,0,10,8,0,16,0,0,0,0,0,0,3,2,1,21,0,0,0,1,1,0,0,0,0,0,0,2,7,1,0,0,9,5,0,2,0,0,2,0,4,1,0,3,4,2,3
2015-03-01,3,0,3,4,6,2,9,8,3,0,3,2,29,2,0,1,1,14,1,14,11,5,0,2,2,4,0,2,16,1,0,27,5,0,9,11,2,7,5,8,3,1,1,7,3,13,4,3,23,1,0,2,16,0,0,0,2,0,0,1,2,20,0,13,0,0,0,3,0,0,1,0,0,2,12,0,1,0,2,0,0,0,2,0,3,0,3,1,0,1,12,2,0,0,0,0,4,0,3,0,3,0,0,2,2
2015-03-08,2,3,6,1,6,3,16,10,3,0,1,2,52,2,0,4,2,1,3,2,9,7,0,6,0,5,10,0,11,4,1,13,3,0,17,10,2,3,6,11,3,8,2,2,11,5,5,1,6,2,0,13,18,4,0,0,2,4,2,0,3,4,1,4,0,0,0,7,0,0,11,11,3,33,0,0,8,5,2,0,0,0,2,0,0,0,2,0,0,2,12,3,0,3,3,0,1,0,4,0,5,1,2,5,6
2015-03-15,1,5,1,3,1,6,10,3,0,0,2,1,44,6,2,2,3,5,1,8,12,4,1,0,0,1,2,1,11,8,0,7,4,0,26,10,4,2,8,0,3,1,1,2,5,37,9,0,11,2,0,2,2,0,0,0,3,0,0,1,11,7,3,13,0,0,0,1,0,0,4,0,3,9,0,0,0,1,1,0,0,0,3,0,0,4,4,0,0,1,3,1,0,5,0,0,0,0,2,0,0,0,0,6,5
2015-03-22,1,24,2,0,3,10,4,7,4,7,3,1,41,9,2,5,1,4,0,5,11,8,1,1,1,0,2,0,15,1,0,12,7,0,23,21,3,0,8,2,4,4,1,3,0,14,4,0,13,1,0,5,14,3,0,0,2,1,4,0,11,26,0,5,0,0,0,3,0,0,1,1,0,14,0,1,3,4,2,0,0,0,1,0,0,2,4,1,0,1,13,0,0,2,2,0,1,0,2,0,6,1,0,1,6
2015-03-29,6,2,2,1,1,2,27,3,2,15,5,2,16,13,2,0,3,1,4,18,3,6,1,5,1,5,2,1,10,5,0,0,6,3,5,4,0,4,10,2,3,8,1,0,16,31,6,17,18,2,0,5,24,1,0,0,0,1,0,0,3,9,2,10,0,0,0,3,0,0,6,1,0,2,0,0,3,0,1,0,0,0,4,0,2,1,4,0,2,3,0,0,0,0,4,0,2,0,5,2,3,0,3,1,1
2015-04-05,3,34,5,6,6,1,11,7,6,0,2,2,6,11,2,5,1,1,3,14,30,9,0,1,0,3,0,4,13,3,0,0,2,0,23,7,1,2,4,2,1,6,1,0,0,40,4,1,26,4,0,10,19,1,0,0,1,0,0,0,18,20,0,7,0,0,2,2,1,0,3,1,2,9,0,1,1,3,4,12,0,0,4,0,3,0,4,1,1,1,0,11,0,3,2,0,6,0,6,1,24,1,4,3,10
2015-04-12,11,5,7,0,0,4,16,8,4,0,2,2,4,10,2,1,2,1,5,0,34,12,0,10,0,4,0,0,8,6,0,3,4,3,21,8,2,5,15,8,2,3,2,1,5,25,3,1,9,1,0,3,23,4,0,0,2,1,1,0,20,4,0,4,0,0,1,1,0,0,1,0,5,11,0,2,3,8,12,4,0,7,2,0,0,1,8,0,0,2,14,8,0,1,14,0,10,0,2,0,13,0,1,11,7
2015-04-19,0,15,9,0,2,5,3,4,3,0,1,1,8,5,9,2,2,3,4,12,20,4,0,4,0,4,10,1,13,3,0,22,5,0,12,3,2,11,11,11,5,2,2,5,11,11,4,2,6,3,0,0,22,4,0,0,11,2,3,0,0,11,1,5,0,1,1,2,0,0,0,0,2,2,0,1,4,0,0,9,0,3,6,0,2,1,4,0,0,1,2,21,0,4,5,0,1,1,1,1,3,1,1,7,10
2015-04-26,0,34,5,1,2,8,7,7,1,8,2,2,0,9,4,1,2,3,5,15,17,15,0,5,0,2,3,1,8,1,0,13,2,4,19,0,0,2,10,5,3,12,1,0,4,27,3,5,2,0,0,0,12,3,0,0,3,1,0,0,2,87,5,6,0,0,0,3,0,0,1,0,17,43,0,2,0,5,0,14,0,4,1,0,0,7,8,2,0,3,6,13,1,7,10,36,2,3,4,2,5,0,0,1,14
2015-05-03,3,0,4,1,1,5,4,4,3,9,5,4,0,18,8,0,1,2,4,17,13,8,0,3,5,1,7,1,13,2,1,8,3,4,13,1,8,0,11,27,1,15,0,0,10,21,5,8,7,1,0,0,14,3,0,0,1,1,2,1,11,7,2,2,0,0,0,1,0,0,0,1,2,0,0,2,0,2,11,4,0,2,6,0,2,5,10,0,0,1,4,5,1,0,5,10,6,1,2,0,6,0,0,4,8
2015-05-10,1,2,2,4,2,3,14,6,6,4,4,0,6,7,11,2,3,1,1,8,14,10,0,3,2,0,2,0,10,7,0,8,1,1,12,0,1,6,13,32,3,21,0,0,4,29,4,6,24,2,0,0,29,2,0,0,1,0,0,0,0,11,2,8,0,0,0,9,0,4,2,1,1,7,0,5,2,6,2,7,0,4,7,0,2,4,4,1,0,3,2,4,1,3,30,5,3,0,1,0,1,0,0,4,5
2015-05-17,0,13,15,2,1,0,17,1,3,0,2,2,1,6,11,2,5,0,0,12,17,1,2,1,0,0,2,1,11,11,0,8,5,2,0,0,1,8,7,11,2,9,2,3,1,23,4,1,9,3,0,0,17,0,0,0,6,1,0,3,14,9,0,6,0,0,0,4,0,1,0,0,2,0,0,0,1,4,0,6,0,6,5,0,3,2,4,0,0,3,8,1,2,3,8,4,5,0,3,0,4,0,6,18,10
2015-05-24,5,5,0,9,3,2,0,1,1,0,3,1,4,2,4,1,1,2,2,12,18,1,3,0,1,0,1,0,16,3,1,9,2,2,52,2,0,8,8,17,2,5,4,2,2,35,3,7,12,1,0,0,3,2,0,1,3,0,2,1,1,8,0,6,0,0,1,1,0,0,1,2,5,2,0,3,2,0,1,5,0,7,7,0,0,4,0,0,1,1,3,2,2,10,4,10,1,2,5,0,4,0,2,3,9
2015-05-31,18,7,4,4,4,3,0,10,2,0,4,4,28,11,4,2,4,0,2,20,6,2,1,1,5,0,2,2,13,2,1,16,4,7,11,0,6,3,7,13,2,4,1,1,4,21,6,3,3,3,0,0,0,7,0,2,5,0,1,0,3,0,0,6,0,0,0,17,0,0,1,0,1,3,0,0,2,0,0,10,0,1,8,0,1,1,4,0,2,3,1,8,7,16,11,6,7,0,3,0,1,0,1,6,10
2015-06-07,3,6,5,0,3,13,0,8,2,13,2,5,18,5,5,3,1,1,3,11,13,11,0,0,0,0,2,0,15,6,2,18,2,1,14,0,1,3,9,3,0,13,2,2,0,26,8,6,12,0,0,0,3,1,0,0,0,0,2,0,15,0,1,4,0,0,0,0,0,0,0,1,2,4,0,0,2,0,0,2,0,4,19,0,0,3,4,0,8,2,2,3,0,14,3,7,6,0,2,0,4,0,0,3,7
2015-06-14,3,6,7,0,2,4,0,4,4,6,3,3,27,12,9,0,6,0,25,1,2,2,2,6,3,0,0,7,19,7,2,20,1,1,14,1,5,0,20,0,0,5,1,1,9,13,5,6,6,3,0,0,0,0,0,0,1,0,1,0,0,1,3,8,0,0,0,2,0,6,0,2,0,3,0,1,3,0,0,4,0,8,7,0,2,12,3,3,5,2,21,1,1,9,2,8,3,2,2,0,3,1,0,3,9
2015-06-21,6,3,5,1,6,8,0,4,1,2,1,2,22,10,11,4,3,0,1,27,11,0,1,0,1,1,0,2,6,7,1,8,2,2,14,0,1,7,16,0,0,7,3,8,5,9,3,2,4,1,0,0,0,0,0,2,2,5,2,0,0,1,4,11,0,1,0,1,0,0,0,4,0,6,0,0,0,0,1,1,0,1,21,0,0,10,3,0,9,0,2,10,2,3,4,4,1,2,5,1,4,1,0,33,15
2015-06-28,5,0,4,2,0,3,0,6,3,0,1,3,26,12,11,1,6,2,1,27,7,4,2,3,0,14,1,0,22,13,4,26,4,2,15,0,1,5,25,5,1,0,2,3,4,60,3,7,5,0,0,0,0,2,0,2,0,1,0,0,1,10,1,9,0,0,0,1,1,0,1,3,2,22,0,3,0,3,4,3,0,6,22,0,0,5,4,0,0,1,6,3,1,0,14,8,6,1,3,1,0,3,2,2,6
2015-07-05,4,5,2,4,2,4,0,7,1,0,9,5,26,9,17,0,5,0,3,11,25,0,2,2,0,6,0,6,11,11,1,20,4,0,3,0,4,6,25,3,2,6,2,3,4,28,7,3,5,1,0,0,0,2,0,0,5,0,15,0,1,11,1,12,0,0,0,2,2,4,0,4,1,2,0,1,4,0,0,2,0,3,11,2,1,19,2,1,4,4,20,0,4,2,11,9,1,1,3,3,2,1,0,4,7
2015-07-12,0,0,4,0,0,6,9,2,1,2,3,2,17,11,20,0,0,1,4,19,9,2,12,11,1,7,0,1,16,14,6,9,2,0,59,0,0,2,12,7,2,1,2,1,5,37,6,13,3,4,0,4,0,1,1,0,3,0,6,0,18,7,2,7,0,7,0,0,0,0,0,1,2,1,0,1,2,2,7,10,0,5,8,0,1,9,1,0,1,2,2,4,1,14,9,4,8,0,4,1,0,1,1,8,8
2015-07-19,2,1,3,0,4,1,19,0,3,11,0,7,30,16,16,0,4,0,1,8,10,4,51,3,5,3,0,2,14,0,29,9,4,0,18,2,4,6,24,15,5,4,1,2,8,23,3,3,10,5,0,23,1,2,7,0,6,0,2,0,1,0,0,6,0,14,0,1,3,3,1,0,4,0,0,0,1,0,8,5,0,4,3,0,0,18,0,2,3,2,9,8,1,0,18,3,9,0,3,4,0,1,0,8,5
2015-07-26,2,1,4,9,3,1,7,6,5,1,0,3,27,13,19,0,3,2,2,18,19,2,60,2,3,7,1,2,18,3,16,23,1,0,6,6,5,3,22,17,4,6,2,0,5,26,9,0,2,2,0,12,0,0,2,2,8,1,1,0,2,1,1,13,0,14,0,1,1,4,0,1,1,4,0,0,7,1,0,4,0,6,3,0,0,6,1,1,2,1,21,3,2,1,3,2,1,0,4,2,0,2,0,3,11
2015-08-02,0,4,2,1,1,3,31,3,7,11,7,16,16,14,24,1,4,0,4,27,21,4,54,2,2,6,2,2,20,2,16,20,1,0,29,14,1,8,31,3,5,0,1,1,10,23,3,6,2,0,0,15,0,0,2,1,4,0,4,0,1,20,9,18,0,14,0,1,0,3,2,1,2,21,0,1,1,2,0,6,0,5,5,0,1,10,1,0,14,1,6,5,1,1,13,2,0,0,4,1,0,0,0,12,7
2015-08-09,0,1,1,1,4,1,20,4,3,16,8,4,23,16,31,0,4,5,3,9,14,1,66,1,3,3,0,0,18,0,20,19,0,3,5,8,2,5,28,1,4,4,3,8,1,38,7,0,0,5,0,12,0,0,3,1,3,0,2,1,18,8,4,9,0,19,0,5,1,0,4,5,2,2,0,1,2,0,0,1,0,4,5,0,1,6,0,1,13,3,14,3,2,5,1,1,3,0,4,4,0,1,0,2,8
2015-08-16,0,3,0,1,2,1,0,22,2,3,1,4,12,11,16,1,4,6,4,5,10,0,55,0,5,1,4,3,11,1,21,11,6,1,0,12,2,10,24,7,2,2,3,5,4,30,2,6,5,1,0,12,6,2,3,1,0,1,1,0,6,5,2,6,0,11,0,0,0,5,2,1,1,0,0,1,4,2,0,3,0,3,2,0,1,6,4,1,8,2,4,7,3,2,5,1,11,3,3,2,0,1,0,7,7
2015-08-23,0,1,3,2,1,2,0,7,3,4,0,5,12,0,25,9,4,2,4,11,9,1,53,2,0,3,7,1,9,0,29,5,4,4,0,19,2,2,29,8,5,8,2,1,2,45,0,2,12,3,0,6,2,1,3,0,3,0,0,1,1,2,6,9,0,12,0,3,0,2,0,3,0,0,0,0,3,1,1,2,0,5,0,0,0,3,0,2,6,0,28,4,1,3,0,2,7,1,2,0,0,1,0,1,5
2015-08-30,0,9,1,4,5,13,3,3,7,8,3,11,5,0,23,3,3,6,5,3,10,0,58,1,0,8,0,3,19,0,22,0,0,3,24,19,2,5,25,16,2,1,4,6,8,72,0,4,10,0,0,4,5,2,0,0,7,1,14,0,1,2,3,9,0,14,0,2,1,1,7,3,0,0,0,1,3,2,1,0,0,4,0,0,0,1,2,1,5,2,3,2,2,3,0,1,12,2,1,0,0,0,0,5,5
2015-09-06,0,4,3,1,2,7,20,8,5,24,3,5,14,0,18,1,3,10,0,20,14,0,70,7,0,6,0,1,19,2,25,4,1,5,18,34,1,3,36,3,9,3,1,7,4,35,2,6,12,6,0,3,8,1,0,0,1,3,0,1,3,5,0,7,0,14,1,6,0,3,0,1,0,6,0,0,2,5,0,1,0,6,3,0,0,1,0,3,8,0,2,7,1,4,5,2,4,1,3,0,0,1,2,3,11
2015-09-13,0,1,17,6,5,16,9,10,4,25,4,9,7,0,17,0,7,4,0,6,16,0,58,5,4,5,0,3,15,2,26,8,0,0,41,44,2,0,39,7,0,8,1,5,0,15,1,4,10,2,0,5,2,1,0,2,3,1,0,2,1,0,0,9,0,9,1,3,0,4,9,8,2,5,0,5,4,0,1,1,0,4,1,0,0,1,0,5,4,2,0,7,1,1,1,3,3,0,2,0,0,1,1,6,6
2015-09-20,0,12,3,2,6,6,10,1,10,31,1,2,6,7,11,2,5,7,0,12,18,5,63,1,3,6,3,2,19,2,20,10,3,2,22,58,1,5,25,6,2,1,1,1,7,0,0,3,15,5,0,3,1,3,0,0,1,2,0,1,0,6,15,12,0,1,0,3,1,2,2,0,1,14,0,5,5,0,3,0,0,0,3,0,1,0,0,0,2,0,2,4,1,3,9,1,0,1,0,0,0,0,0,8,0
2015-09-27,0,0,1,5,10,30,11,7,4,14,2,7,21,18,13,1,1,12,3,3,23,3,56,3,7,4,2,2,6,3,20,14,5,3,7,22,0,2,8,8,8,0,3,2,6,10,0,3,3,12,0,1,0,1,0,1,7,3,0,5,1,8,3,12,0,0,0,3,0,2,4,1,1,4,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,5,5,6,1,9,3,2,4,0,1,0,3,1,0,3,0
2015-10-04,2,15,10,1,9,5,14,6,4,21,3,3,18,18,12,4,6,7,1,14,21,3,70,0,3,7,7,3,8,3,27,16,0,0,23,44,1,5,8,19,2,0,3,6,2,17,5,4,26,5,0,1,0,1,0,0,0,3,0,0,2,1,0,12,0,0,3,2,1,2,1,2,7,0,0,1,2,17,5,0,0,0,0,0,2,0,2,1,0,1,18,6,3,6,2,0,4,0,0,0,2,0,1,2,14
2015-10-11,4,7,33,6,17,8,22,8,5,33,5,4,23,31,4,1,3,5,5,10,13,15,57,5,8,1,4,2,8,3,17,8,4,3,6,42,3,5,15,4,2,0,1,3,1,29,3,3,14,5,0,0,0,5,0,0,5,21,0,0,0,25,4,12,0,0,0,4,0,3,2,4,17,11,0,2,0,23,0,0,0,0,0,0,0,2,3,1,1,0,2,1,1,6,0,0,6,0,2,1,1,1,0,6,9
2015-10-18,11,3,20,5,25,39,10,16,6,34,0,8,13,23,13,3,7,11,1,2,8,15,60,4,2,2,7,1,9,2,23,15,2,5,79,32,0,6,0,10,0,1,2,10,5,4,1,5,9,11,0,0,0,3,0,0,4,12,0,8,4,18,3,34,0,0,1,0,0,2,3,3,0,22,0,2,5,8,1,0,0,0,0,0,0,2,2,0,1,3,11,0,2,3,4,2,11,0,2,2,0,0,3,2,9
2015-10-25,23,61,27,9,7,16,21,13,3,94,1,11,11,2,5,2,2,8,2,5,21,5,56,1,4,3,7,3,11,0,26,17,11,1,10,30,0,5,12,13,1,0,2,2,5,18,2,1,19,7,0,1,0,10,1,0,6,3,0,10,3,16,2,6,0,0,1,0,1,3,3,7,5,25,0,0,4,16,6,0,0,0,0,0,0,2,1,0,0,1,0,3,3,13,3,0,3,1,1,4,2,0,12,2,6
2015-11-01,52,17,24,7,6,0,14,54,4,48,2,6,23,26,2,9,6,5,3,11,5,15,68,1,2,3,5,15,14,2,24,12,4,3,29,45,2,26,8,20,3,0,1,2,7,14,10,6,4,7,0,2,4,19,1,0,4,12,0,7,0,0,0,9,0,1,3,1,0,0,0,2,5,13,0,1,3,14,18,1,0,1,0,0,0,2,4,2,0,1,0,4,2,3,1,0,7,1,2,2,0,1,18,0,5
2015-11-08,12,31,17,2,1,9,8,9,7,46,2,7,14,12,2,4,6,10,3,2,0,0,54,0,1,0,1,1,18,0,29,9,4,1,59,32,1,0,4,0,1,0,2,2,5,19,10,0,6,12,0,2,3,3,1,0,12,2,0,7,0,0,2,12,0,1,2,0,0,5,4,1,3,3,0,2,2,1,8,0,0,1,0,0,0,1,2,1,0,0,0,11,1,7,0,2,3,2,1,3,3,1,1,2,5
2015-11-15,21,16,2,4,3,0,12,10,4,7,1,18,10,30,2,3,1,6,1,7,6,0,64,2,10,0,2,7,11,1,25,4,8,1,8,24,2,2,8,1,0,0,4,5,5,6,9,7,8,9,0,1,9,1,1,0,10,3,0,1,2,16,3,12,0,1,5,0,0,0,3,1,2,0,0,0,1,3,7,2,0,0,0,0,0,1,3,1,0,2,0,8,0,3,5,1,1,1,5,5,3,0,2,4,3
2015-11-22,10,24,12,5,2,9,9,25,5,26,1,2,14,15,1,3,1,7,1,13,10,3,48,0,6,0,2,5,10,2,30,11,0,2,17,23,1,3,2,10,1,0,2,0,7,9,9,6,13,2,0,0,2,0,0,0,3,4,0,6,6,7,1,9,0,0,8,12,3,2,2,3,7,0,0,1,0,4,7,6,0,0,0,0,1,0,3,1,0,1,0,8,3,4,6,0,5,0,4,1,1,0,3,2,6
2015-11-29,6,9,3,11,4,4,9,7,7,27,2,5,11,9,6,4,5,21,1,0,6,0,22,1,13,0,2,0,11,3,20,16,3,3,8,21,0,1,10,5,0,0,2,0,2,0,5,4,16,12,0,0,0,2,0,0,0,3,0,5,0,13,2,7,0,0,1,0,0,2,2,7,3,19,0,0,2,8,11,1,0,0,0,8,0,1,1,1,0,3,0,2,3,2,2,0,1,0,5,1,4,2,0,6,9
2015-12-06,9,20,0,18,2,7,11,26,11,16,4,4,12,3,2,5,3,22,1,24,1,9,2,2,4,0,2,0,16,1,25,4,4,2,20,35,0,3,5,3,0,1,1,2,2,0,7,16,10,5,0,0,6,9,0,0,2,3,0,2,0,4,23,12,0,1,15,0,0,2,1,2,8,0,0,0,4,2,14,1,0,0,0,8,0,2,2,1,0,1,0,8,3,4,3,0,2,0,1,2,2,1,6,5,8
2015-12-13,8,8,0,12,7,4,13,46,13,23,0,4,13,4,4,15,1,13,3,0,13,6,1,2,9,0,1,0,13,0,24,10,1,4,14,39,2,1,6,25,0,0,0,6,5,0,1,1,7,16,0,1,9,28,0,0,3,2,0,25,2,4,2,12,0,0,12,12,0,1,0,0,11,0,0,0,2,7,25,3,0,0,0,0,0,1,1,0,0,2,0,2,4,3,16,0,2,0,4,3,0,1,32,3,174
2015-12-20,13,3,0,3,11,3,12,7,6,30,1,1,10,5,5,2,8,10,6,1,5,20,42,3,2,0,6,3,3,1,23,12,2,2,12,17,1,6,3,10,0,1,0,4,4,14,6,7,18,5,0,2,2,17,0,0,3,1,0,1,0,19,8,12,0,2,11,0,0,0,1,0,10,21,0,1,1,6,7,1,0,13,0,0,0,1,0,0,0,1,2,4,4,1,4,0,4,0,5,6,9,0,2,1,15
2015-12-27,1,0,0,1,2,7,7,0,5,9,2,2,14,4,3,0,1,8,0,4,1,4,5,4,9,0,2,7,11,0,22,7,2,2,30,23,1,4,5,3,2,0,1,2,4,20,3,4,8,5,0,0,8,4,3,0,3,0,0,0,1,3,2,6,0,0,1,11,0,0,1,13,4,1,0,0,0,3,3,3,0,36,0,0,0,2,2,0,2,2,1,6,8,1,2,0,0,0,6,4,5,1,0,3,8
2016-01-03,3,4,0,1,0,0,6,10,4,12,4,4,10,2,10,0,6,5,3,3,4,1,25,0,7,0,0,2,13,0,27,17,3,2,32,34,2,2,19,9,0,0,4,2,2,20,10,9,16,5,0,0,8,1,0,0,10,1,0,0,1,2,35,10,0,3,0,13,0,0,1,1,13,0,0,1,12,0,8,3,0,20,0,0,0,0,2,0,1,2,5,2,1,3,0,0,1,4,4,5,0,0,1,13,7
2016-01-10,5,0,1,1,1,1,9,8,5,3,3,3,8,3,2,0,3,15,0,17,2,1,39,3,4,0,5,3,17,0,24,9,1,0,4,38,1,4,6,1,1,2,0,1,3,28,3,3,7,12,0,1,6,0,0,0,3,6,0,0,0,0,7,12,0,2,3,24,0,5,1,4,0,0,0,0,1,0,4,0,0,13,0,26,0,3,5,0,0,0,3,4,0,1,0,0,4,5,3,1,0,0,1,6,12
2016-01-17,13,3,8,1,2,5,10,9,6,5,1,1,8,3,2,0,1,5,3,22,0,0,62,1,5,0,0,3,10,0,20,18,0,0,17,23,0,17,3,7,3,6,1,3,4,18,5,0,11,14,0,0,8,0,0,1,1,1,0,0,1,3,20,7,0,2,0,0,0,2,3,5,0,7,0,1,0,2,5,5,0,6,0,14,0,1,2,0,0,2,18,3,0,6,0,0,3,10,0,6,0,0,0,4,8
